Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,CHAMPION,PLAYOFFS
1,2021 Las Vegas Aces,32,202.3,33.1,70.2,0.472,5.1,13.5,0.375,28.1,56.7,0.495,17.9,21.9,0.819,7.3,31.3,38.6,20.8,6.8,4.6,11.6,14.2,89.3,0
2,2021 Seattle Storm,32,203.9,31,68.9,0.45,8.6,22.6,0.38,22.4,46.3,0.484,14.2,16.9,0.839,7.2,28.4,35.6,21.3,7.5,4.2,12.3,15.5,84.8,0
3,2021 Chicago Sky,32,203.1,30.8,69.9,0.441,7.3,21.2,0.343,23.5,48.7,0.484,14.3,17,0.845,8.3,26.7,34.9,21.8,7,4.5,13.8,19,83.3,1
4,2021 Minnesota Lynx,32,201.6,30.7,67.1,0.458,6.8,19.8,0.34,23.9,47.2,0.507,14.6,17.4,0.837,7.3,27.7,34.9,20.4,6.8,4.1,14,17.5,82.7,0
5,2021 Phoenix Mercury,32,201.6,29.5,65.7,0.45,7.5,21.8,0.346,22,43.9,0.501,15.5,19.4,0.798,8,28.2,36.2,19.7,4.8,5.2,12.8,16.3,82.1,0
6,2021 Dallas Wings,32,201.6,29.7,70.7,0.42,8.2,23.1,0.354,21.5,47.6,0.451,13.6,16.4,0.829,10,26.1,36.1,17.3,6.8,3.9,12.8,18.4,81.1,0
7,2021 Washington Mystics,32,200.8,28.4,69.2,0.41,9,27.4,0.328,19.4,41.8,0.464,14,17.4,0.808,8.1,25.2,33.3,18.6,6.9,3.1,12.3,17.2,79.8,0
8,2021 Connecticut Sun,32,201.6,29.2,65.6,0.444,7,19.6,0.356,22.2,46.1,0.482,14.4,17.7,0.816,9.7,26.9,36.6,18,7.8,3.6,13.9,17.8,79.7,0
9,2021 Atlanta Dream,32,201.6,30.6,73.5,0.417,6.1,19.8,0.31,24.5,53.7,0.456,11.3,15.7,0.72,9.7,24.4,34.1,17.4,8.9,4.6,11,18.4,78.7,0
10,2021 New York Liberty,32,200.8,28.3,66.1,0.428,10,27.7,0.362,18.2,38.3,0.475,11.9,14.7,0.813,6.2,27.1,33.3,19.2,6.1,3.8,16.2,17.9,78.5,0
11,2021 Indiana Fever,32,200,28.4,68.2,0.417,4.9,17.3,0.284,23.5,50.9,0.461,13.6,17,0.8,9.6,24.8,34.3,16.7,6.3,3.8,13.8,17.8,75.3,0
12,2021 Los Angeles Sparks,32,201.6,27,65.8,0.411,6.8,20.1,0.335,20.3,45.7,0.444,11.9,15.6,0.766,6.1,23.2,29.3,15.4,8.3,4.2,13.2,19.3,72.8,0
1,2020 Las Vegas Aces,22,200,32.7,68.7,0.477,4.2,11.5,0.368,28.5,57.2,0.498,19,23.4,0.815,8.1,29.3,37.4,20.7,7.8,3,12.2,15,88.7,0
2,2020 Seattle Storm,22,200,31.9,67.8,0.47,8.4,21.4,0.394,23.5,46.4,0.505,15.4,18.9,0.817,7.6,26.8,34.4,21.9,10,4,13.2,16.5,87.5,1
3,2020 Chicago Sky,22,200,33.5,68.2,0.491,7.6,21.6,0.351,25.9,46.5,0.557,12.1,14.9,0.817,7.3,26.3,33.6,21.8,7.5,4,14.9,18,86.7,0
4,2020 Phoenix Mercury,22,201.1,30.2,67,0.45,8.4,24.5,0.343,21.8,42.5,0.512,17.4,21,0.825,7.5,26.5,34,20.4,6.8,5.6,14,19.7,86.1,0
5,2020 Los Angeles Sparks,22,202.3,32.2,67,0.481,7.2,18.1,0.398,25,48.8,0.511,13.3,16.8,0.792,6.4,25,31.4,20,9,3,13.9,18.3,84.9,0
6,2020 Minnesota Lynx,22,200,30.6,67,0.456,8.3,21.5,0.385,22.3,45.5,0.49,15,18.3,0.818,9.9,24.5,34.4,19.8,8.4,3,14.2,16.9,84.4,0
7,2020 Dallas Wings,22,202.3,29.5,71,0.415,8.9,27.6,0.323,20.5,43.4,0.474,15.6,19.1,0.815,9,23.7,32.7,15.6,8.2,3.2,11,19.7,83.4,0
8,2020 Indiana Fever,22,200,29.5,66.7,0.441,6.9,20,0.345,22.5,46.7,0.482,15.9,19.4,0.819,9,24.7,33.7,19.2,5.1,3.2,15,17.7,81.7,0
9,2020 Atlanta Dream,22,202.3,31.4,71,0.442,5.9,16.9,0.35,25.5,54.2,0.471,12.2,16.1,0.758,9,25.8,34.9,16.9,6.9,3.3,14.4,18.5,81,0
10,2020 Connecticut Sun,22,201.1,29.7,69.5,0.427,5.9,19,0.311,23.8,50.5,0.47,15.1,20,0.755,10,25.5,35.5,18.3,9.2,3.1,13.3,18.8,80.4,0
11,2020 Washington Mystics,22,202.3,29.6,68.5,0.433,8.3,24.4,0.341,21.3,44.1,0.483,12.4,15,0.825,7.3,24.1,31.5,19.7,7.9,2.1,12.1,17,80,0
12,2020 New York Liberty,22,200,24.5,66,0.372,7.6,27.4,0.277,17,38.6,0.439,15.2,18.5,0.823,8,27.8,35.8,14.9,6.3,4.3,16.8,19.1,71.9,0

